City_ID,City,Country,Data,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Cabo San Lucas,22.8909,-109.9124,78.1,54,0,12.59,MX,2022-06-07 13:27:42
111,Bagdarin,54.4333,113.6,53.91,62,19,2.42,RU,2022-06-07 13:30:15
112,Kaitangata,-46.2817,169.8464,47.37,80,100,7.99,NZ,2022-06-07 13:30:15
113,Tiksi,71.6872,128.8694,40.69,84,52,9.73,RU,2022-06-07 13:30:15
114,Fortuna,40.5982,-124.1573,49.98,94,0,3.44,US,2022-06-07 13:30:16
115,Chukhloma,58.7525,42.6825,59.67,48,98,8.93,RU,2022-06-07 13:30:16
116,Sahuaripa,29.05,-109.2333,81.37,34,100,2.35,MX,2022-06-07 13:30:17
117,Hasaki,35.7333,140.8333,59.4,84,100,17.38,JP,2022-06-07 13:30:17
118,Cape Town,-33.9258,18.4232,86.11,28,0,9.22,ZA,2022-06-07 13:28:00
119,Caluquembe,-13.7833,14.6833,72.19,22,95,5.28,AO,2022-06-07 13:30:18
120,Kudahuvadhoo,2.6708,72.8944,82.6,71,100,5.23,MV,2022-06-07 13:30:18
121,Carnarvon,-24.8667,113.6333,73.47,70,96,15.52,AU,2022-06-07 13:30:19
122,Mitsamiouli,-11.3847,43.2844,78.96,76,69,13.13,KM,2022-06-07 13:30:19
123,Novyy Urgal,51.0736,132.5642,57.81,80,100,3.24,RU,2022-06-07 13:30:19
124,Moba,33.2288,105.0179,59.95,85,98,2.89,CN,2022-06-07 13:30:20
125,Bay Roberts,47.5999,-53.2648,45.03,78,87,10.0,CA,2022-06-07 13:30:20
126,Bredasdorp,-34.5322,20.0403,80.06,25,0,2.44,ZA,2022-06-07 13:30:21
127,Hobart,-42.8794,147.3294,42.66,87,75,19.57,AU,2022-06-07 13:30:19
128,Winnemucca,40.973,-117.7357,39.25,87,0,5.75,US,2022-06-07 13:25:24
129,Kefalos,36.7453,26.9589,79.02,53,0,19.57,GR,2022-06-07 13:30:21
130,Namibe,-15.1961,12.1522,97.43,44,0,13.8,AO,2022-06-07 13:30:22
